swissuniversities_name,ID,dimensions_gui,scopus_query,wos_query,openalex_api,openaire_gui
Hochschule für Wirtschaft Zürich HWZ,HWZ,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.449909.9,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i197141962,https://explore.openaire.eu/search/organization?organizationId=openorgs____::a676eb54dd9515d60744898edb080154
"Institut de hautes études internationales et du développement, Genève, IHEID",IHEID,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.424404.2,"AF-ID ( ""Institut de hautes études internationales et du développement Geneve""   60100879 )  OR  AF-ID ( ""Académie de Droit International Humanitaire et de Droits de Humanis de Genève""   60204108 )  OR  AF-ID ( ""Centre D'études Humanitaires Genève""   60204110 )  OR  AF-ID ( ""Geneva Center for International Dispute Settlement""   60204109 ) ",,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i951315,https://explore.openaire.eu/search/organization?organizationId=openorgs____::5a76373b3d56e22c7ba49e252d9a79ec
IMD - International Institute for Management Development,IMD,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.462392.8,"AF-ID ( ""International Institute for Management Development Lausanne""   60067221 ) ",OG=(International Institute for Management Development (IMD)),https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i130154697,https://explore.openaire.eu/search/organization?organizationId=openorgs____::073afa892e14cb64c130e041f54817fe
Kalaidos Fachhochschule,KAFH,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.449532.d,"AF-ID ( ""Kalaidos University of Applied Sciences""   60268819 ) ",,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i3132934759,https://explore.openaire.eu/search/organization?organizationId=openorgs____::eb3d3aaf002a81213a0c57f0f06465ae
Pädagogisches Hochschulinstitut NMS Bern (formerly IVP NMS),NMS,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.483436.e,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210143584,https://explore.openaire.eu/search/organization?organizationId=openorgs____::cbfac65251f3d0e66775c46f4ff59564
OST - Ostschweizer Fachhochschule,OST,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.507560.1&or_facet_research_org=grid.507561.0&or_facet_research_org=grid.507559.b&or_facet_research_org=grid.510272.3,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210145378|i4210127453|i4210143180|i4210129390,"https://explore.openaire.eu/search/organization?organizationId=openorgs____::80098f9f86e12fa60839982cc999c0d1
https://explore.openaire.eu/search/organization?organizationId=openorgs____::5bd0dddc046017159203385fcfb28320
https://explore.openaire.eu/search/organization?organizationId=openorgs____::58cba8dc99d3605275d146e9872ea14e
https://explore.openaire.eu/search/organization?organizationId=openorgs____::5e1ff4b25339b85b35dccf232595c841"
Pädagogische Hochschule Bern PH Bern,PHB,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.454333.6,"AF-ID ( ""Pädagogische Hochschule Bern""   60074483 ) ",,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210160491,https://explore.openaire.eu/search/organization?organizationId=openorgs____::8e172cf2a30972508523bd9b578d207f
Haute école pédagogique Fribourg | Pädagogische Hochschule Freiburg HEP | PH FR,PHFR,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.469451.b,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210137605,https://explore.openaire.eu/search/organization?organizationId=openorgs____::c875ba8db60a222cfce620254982f8a2
Pädagogische Hochschule Graubünden | Alta scuola pedagogica dei Grigioni | Scola auta da pedagogia dal Grischun PHGR,PHGR,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.469478.0,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210117930,https://explore.openaire.eu/search/organization?organizationId=openorgs____::f4340596c24a3bc32d65898b0bb970db
Pädagogische Hochschule Luzern PH Luzern,PHLU,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.465965.d,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210112078,https://explore.openaire.eu/search/organization?organizationId=openorgs____::37841a2fd74b34ac55b177b1bd449d5f
Pädagogische Hochschule Nordwestschweiz PH FHNW,PHNW,,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4399598484,https://explore.openaire.eu/search/organization?organizationId=openorgs____::9735c613fb47ef36274499e863c71624
Pädagogische Hochschule St. Gallen PHSG,PHSG,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.466208.e,"AF-ID ( ""St.Gallen University of Teacher Education""   60108679 )",,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210158813,https://explore.openaire.eu/search/organization?organizationId=openorgs____::85dea0ea5b91fe6f00a1603563764461
Pädagogische Hochschule Schaffhausen PHSH,PHSH,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.466133.5,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210139224,https://explore.openaire.eu/search/organization?organizationId=openorgs____::357e073025c22028ea909fb31d7cfc79
Pädagogische Hochschule Schwyz PHSZ,PHSZ,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.466169.a,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210095907,https://explore.openaire.eu/search/organization?organizationId=openorgs____::0fcceab5dd79e17a094a22722c4dcc20
Pädagogische Hochschule Thurgau PHTG,PHTG,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.466322.7,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210138261,https://explore.openaire.eu/search/organization?organizationId=openorgs____::60303930d3d8679558058c106c8bcffd
Haute école pédagogique du Valais | Pädagogische Hochschule Wallis HEP-VS | PH-VS,PHVS,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.466216.1,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210141884,https://explore.openaire.eu/search/organization?organizationId=openorgs____::90c6559703955eea8e26c963944bab65
Pädagogische Hochschule Zürich PH Zürich,PHZRH,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.483054.e,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210111868,https://explore.openaire.eu/search/organization?organizationId=openorgs____::e1c084f24d8d99a30d4e2dccb0d60474
Pädagogische Hochschule Zug PH Zug,PHZU,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.466274.5,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210146564,https://explore.openaire.eu/search/organization?organizationId=openorgs____::0c05e3681782b83db6ae65e775ea9f33
Swiss Business School SBS,SBS,,"AF-ID ( ""SBS Swiss Business School""   60006587 )",OG=(SBS Swiss Business School),https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4399598389,https://explore.openaire.eu/search/organization?organizationId=openorgs____::0de33f5fa55f31cb73fb43e84ba2616a
Swiss Federal Institute of Sport Magglingen SFISM,SFISM,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.483323.d,"AF-ID ( ""Swiss Federal Institute of Sport Magglingen SFISM""   60159440 ) ",,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210097597,https://explore.openaire.eu/search/organization?organizationId=openorgs____::4524bc9c56c4c995ccf51d2b433926c9
Schweizer Hochschule für Logopädie Rorschach SHLR,SHLR,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.469491.7,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210146015,https://explore.openaire.eu/search/organization?organizationId=openorgs____::1ea047990ed8bf6c057c24950e632d9b
Universitäre Theologische Hochschule Basel STH Basel,STHB,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.469487.0,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210116588,https://explore.openaire.eu/search/organization?organizationId=openorgs____::5b931c60f5f6bf29386ad5a884f35c4e
"Stiftung Universitäre Fernstudien Schweiz, Brig",SUFS,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.508727.f,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210139595,https://explore.openaire.eu/search/organization?organizationId=openorgs____::1ee37347adef16924686f4e7c015741c
Swiss UMEF,SUMEF,,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4399657977,https://explore.openaire.eu/search/organization?organizationId=openorgs____::73bfaf94abdefe88a3374cf0983b935e
Scuola universitaria professionale della Svizzera italiana SUPSI,SUPSI,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.469945.3&or_facet_research_org=grid.454265.4&or_facet_research_org=grid.16058.3a,"AF-ID ( ""Scuola Universitaria Professionale della Svizzera Italiana""   60101870 )  OR  AF-ID ( ""IDSIA Dalle Molle Institute for Artificial Intelligence""   60014996 ) ",,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i15196421|i4210116528|i2614128279,"https://explore.openaire.eu/search/organization?organizationId=openorgs____::9530fcdb9351fb8cc163e51c47850c00
https://explore.openaire.eu/search/organization?organizationId=openorgs____::dfa43720e035d72f6c34b2499387058d
https://explore.openaire.eu/search/organization?organizationId=openorgs____::6d49d8059c0ef5eefc2343059826e216"
SUPSI - Dipartimento formazione e apprendimento SUPSI-DFA,SUPSIDFA,,,,,https://explore.openaire.eu/search/organization?organizationId=openorgs____::bbf28dbc8406d6baf3bda78834504d9f
Schweizerisches universitäres Institut für traditionelle chinesische Medizin SWISS TCM UNI,TCMUNI,,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4399598368,https://explore.openaire.eu/search/organization?organizationId=openorgs____::51e8a672e8dd17dbfc6eff42b2ebed5a
