Pädagogische Hochschule Bern PH Bern,PH Bern,Pädagogische Hochschule Bern,grid.454333.6,05jf1ma54,I4210160491,openorgs____::0000044391
Haute école pédagogique Fribourg | Pädagogische Hochschule Freiburg HEP | PH FR,PH FR,Haute École Pédagogique Fribourg,grid.469451.b,048gre751,I4210137605,openorgs____::0000059231
Pädagogische Hochschule Graubünden | Alta scuola pedagogica dei Grigioni | Scola auta da pedagogia dal Grischun PHGR,PHGR,University of Teacher Education of the Grisons,grid.469478.0,02fjgft97,I4210117930,openorgs____::0000059258
Pädagogische Hochschule Luzern PH Luzern,PHLU,University of Teacher Education Lucerne,grid.465965.d,0235ynq74,I4210112078,openorgs____::0000055803
Pädagogische Hochschule Nordwestschweiz PH FHNW,PH FHNW,Pädagogische Hochschule FHNW,,"04fawj142
(Added to ROR  05NA24)",I4399598484,
Pädagogische Hochschule St. Gallen PHSG,PHSG,St.Gallen University of Teacher Education,grid.466208.e,05m37v666,I4210158813,openorgs____::0000056046
Pädagogische Hochschule Schaffhausen PHSH,PHSH,Pädagogische Hochschule Schaffhausen,grid.466133.5,03fs41j10,I4210139224,openorgs____::0000055972
Pädagogische Hochschule Schwyz PHSZ,PHSZ,Schwyz University of Teacher Education,grid.466169.a,00rqdn375,I4210095907,openorgs____::0000056007
Pädagogische Hochschule Thurgau PHTG,PHTG,Thurgau University of Teacher Education,grid.466322.7,04bf6dq94,I4210138261,openorgs____::0000056157
Haute école pédagogique du Valais | Pädagogische Hochschule Wallis HEP-VS | PH-VS,PHVS,Pädagogische Hochschule Wallis,grid.466216.1,040gs8e06,I4210141884,openorgs____::0000056054
Pädagogische Hochschule Zürich PH Zürich,PH Zürich,Zurich University of Teacher Education,grid.483054.e,01awgk221,I4210111868,openorgs____::0000072626
Pädagogische Hochschule Zug PH Zug,PH Zug,University of Teacher Education Zug,grid.466274.5,05ghhx264,I4210146564,openorgs____::0000056109
Swiss Business School SBS,SBS,,,"051qmsg29
(Added to ROR  05NA24)",I4399598389,
Swiss Federal Institute of Sport Magglingen SFISM,SFISM,Swiss Federal Institute of Sport Magglingen,grid.483323.d,00c9w1q32,I4210097597,openorgs____::0000072893
Schweizer Hochschule für Logopädie Rorschach SHLR,SHLR,Schweizer Hochschule für Logopädie Rorschach,grid.469491.7,051rtfe77,I4210146015,openorgs____::0000059271
Universitäre Theologische Hochschule Basel STH Basel,STH Basel,Staatsunabhängige Theologische Hochschule Basel,grid.469487.0,01pycny91,I4210116588,openorgs____::0000059267
